,Cluster,Condition
GSM3071633,1,Benign
GSM3071634,1,Benign
GSM3071635,1,Benign
GSM3071636,1,Benign
GSM3071637,1,Benign
GSM3071638,1,Benign
GSM3071639,1,Benign
GSM3071640,1,Benign
GSM3071641,2,Benign
GSM3071642,1,Benign
GSM3071643,1,Benign
GSM3071644,1,Benign
GSM3071645,1,Benign
GSM3071646,2,Melanoma
GSM3071647,1,Melanoma
GSM3071648,2,Melanoma
GSM3071649,0,Melanoma
GSM3071650,1,Melanoma
GSM3071651,0,Melanoma
GSM3071652,1,Melanoma
GSM3071653,1,Melanoma
GSM3071654,1,Melanoma
GSM3071655,2,Melanoma
GSM3071656,2,Melanoma
GSM3071657,2,Melanoma
GSM3071658,2,Melanoma
GSM3071659,0,Melanoma
GSM3071660,2,Melanoma
GSM3071661,0,Melanoma
GSM3071662,2,Melanoma
GSM3071663,0,Melanoma
GSM3071664,2,Melanoma
GSM3071665,2,Melanoma
GSM3071666,0,Melanoma
GSM3071667,1,Melanoma
GSM3071668,0,Melanoma
GSM3071669,0,Melanoma
GSM3071670,2,Melanoma
GSM3071671,0,Melanoma
GSM3071672,0,Benign
GSM3071673,2,Benign
GSM3071674,2,Benign
GSM3071675,0,Benign
GSM3071676,0,Benign
GSM3071677,1,Benign
GSM3071678,0,Benign
GSM3071679,2,Benign
GSM3071680,0,Benign
GSM3071681,2,Benign
GSM3071682,0,Melanoma
GSM3071683,2,Melanoma
GSM3071684,0,Melanoma
GSM3071685,0,Melanoma
GSM3071686,0,Melanoma
GSM3071687,2,Melanoma
GSM3071688,2,Melanoma
GSM3071689,2,Melanoma
GSM3071690,0,Melanoma
GSM3071692,0,Melanoma
GSM3071693,0,Melanoma
GSM3071694,0,Melanoma
GSM3071695,0,Melanoma
GSM3071696,0,Melanoma
GSM3071697,2,Melanoma
GSM3071698,2,Melanoma
GSM3071699,0,Melanoma
GSM3071700,2,Melanoma
GSM3071701,0,Melanoma
GSM3071702,0,Melanoma
GSM3071703,2,Melanoma
GSM3071704,0,Melanoma
GSM3071705,0,Melanoma
GSM3071706,0,Melanoma
GSM3071707,0,Melanoma
GSM3071708,0,Melanoma
GSM3071709,0,Melanoma
GSM3071710,2,Melanoma
GSM3071711,0,Melanoma
GSM3071712,0,Melanoma
